Component,Category,Unit,Country,Source,Year,Volume
Lakes and reservoirs,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1999,-763
Snow,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1999,-1953
Soil moisture,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1999,1131
Total change in storage,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1999,-6857
Precipitation,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1999,645603
Total inflows,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1999,645603
Abstraction for hydroelectricity,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1999,164673
Discharge from hydroelectricity generation,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1999,-164673
Evapotranspiration,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1999,120588
To sea and net abstraction,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1999,531872
Total outflows,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,1999,652460
Groundwater,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2000,820
Ice,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2000,-3082
Lakes and reservoirs,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2000,2357
Snow,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2000,1869
Soil moisture,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2000,-610
Total change in storage,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2000,1354
Precipitation,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2000,619207
Total inflows,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2000,619207
Abstraction for hydroelectricity,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2000,151867
Discharge from hydroelectricity generation,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2000,-151867
Evapotranspiration,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2000,119478
To sea and net abstraction,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2000,498374
Total outflows,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2000,617852
Groundwater,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2001,290
Ice,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2001,767
Lakes and reservoirs,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2001,-3338
Snow,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2001,508
Soil moisture,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2001,41
Total change in storage,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2001,-1732
Precipitation,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2001,546821
Total inflows,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2001,546821
Abstraction for hydroelectricity,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2001,159661
Discharge from hydroelectricity generation,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2001,-159661
Evapotranspiration,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2001,115980
To sea and net abstraction,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2001,432572
Total outflows,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2001,548553
Groundwater,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2002,2750
Ice,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2002,-2396
Lakes and reservoirs,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2002,2124
Snow,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2002,1369
Soil moisture,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2002,-909
Total change in storage,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2002,2938
Precipitation,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2002,614630
Total inflows,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2002,614630
Abstraction for hydroelectricity,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2002,140308
Discharge from hydroelectricity generation,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2002,-140308
Evapotranspiration,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2002,121657
To sea and net abstraction,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2002,490035
Total outflows,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2002,611692
Groundwater,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2003,-4480
Ice,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2003,950
Lakes and reservoirs,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2003,-761
Snow,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2003,-3158
Soil moisture,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2003,845
Total change in storage,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2003,-6604
Precipitation,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2003,569103
Total inflows,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2003,569103
Abstraction for hydroelectricity,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2003,160850
Discharge from hydroelectricity generation,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2003,-160850
Evapotranspiration,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2003,118545
To sea and net abstraction,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2003,457162
Total outflows,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2003,575707
Groundwater,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2004,3060
Ice,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2004,807
Lakes and reservoirs,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2004,1957
Snow,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2004,1272
Soil moisture,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2004,-1593
Total change in storage,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2004,5503
Precipitation,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2004,664433
Total inflows,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2004,664433
Abstraction for hydroelectricity,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2004,167244
Discharge from hydroelectricity generation,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2004,-167244
Evapotranspiration,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2004,122628
To sea and net abstraction,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2004,536302
Total outflows,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2004,658931
Groundwater,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2005,-3130
Ice,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2005,1035
Lakes and reservoirs,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2005,-3336
Snow,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2005,-269
Soil moisture,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2005,1907
Total change in storage,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2005,-3793
Precipitation,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2005,565889
Total inflows,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2005,565889
Abstraction for hydroelectricity,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2005,170315
Discharge from hydroelectricity generation,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2005,-170315
Evapotranspiration,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2005,119220
To sea and net abstraction,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2005,450462
Total outflows,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2005,569681
Groundwater,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2006,-440
Ice,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2006,-1209
Lakes and reservoirs,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2006,91
Snow,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2006,1438
Soil moisture,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2006,-462
Total change in storage,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2006,-581
Precipitation,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2006,587074
Total inflows,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2006,587074
Abstraction for hydroelectricity,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2006,143725
Discharge from hydroelectricity generation,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2006,-143725
Evapotranspiration,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2006,117729
To sea and net abstraction,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2006,469926
Total outflows,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2006,587655
Groundwater,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2007,-2200
Ice,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2007,-327
Lakes and reservoirs,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2007,-335
Snow,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2007,-47
Soil moisture,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2007,-199
Total change in storage,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2007,-3109
Precipitation,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2007,568843
Total inflows,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2007,568843
Abstraction for hydroelectricity,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2007,154558
Discharge from hydroelectricity generation,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2007,-154558
Evapotranspiration,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2007,116081
To sea and net abstraction,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2007,455871
Total outflows,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2007,571952
Groundwater,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2008,520
Ice,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2008,-2617
Lakes and reservoirs,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2008,-1184
Snow,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2008,398
Soil moisture,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2008,-1087
Total change in storage,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2008,-3970
Precipitation,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2008,551635
Total inflows,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2008,551635
Abstraction for hydroelectricity,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2008,143342
Discharge from hydroelectricity generation,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2008,-143342
Evapotranspiration,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2008,112415
To sea and net abstraction,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2008,443190
Total outflows,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2008,555605
Groundwater,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2009,2770
Ice,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2009,-2163
Lakes and reservoirs,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2009,2836
Snow,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2009,-1688
Soil moisture,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2009,1780
Total change in storage,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2009,3536
Precipitation,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2009,651015
Total inflows,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2009,651015
Abstraction for hydroelectricity,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2009,155088
Discharge from hydroelectricity generation,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2009,-155088
Evapotranspiration,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2009,118374
To sea and net abstraction,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2009,529105
Total outflows,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2009,647479
Groundwater,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2010,2890
Ice,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2010,-245
Lakes and reservoirs,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2010,81
Snow,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2010,945
Soil moisture,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2010,-1514
Total change in storage,Change in storage,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2010,2156
Precipitation,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2010,613510
Total inflows,Inflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2010,613510
Abstraction for hydroelectricity,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2010,156329
Discharge from hydroelectricity generation,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2010,-156329
Evapotranspiration,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2010,115625
To sea and net abstraction,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2010,495729
Total outflows,Outflows,Million cubic metres,New Zealand,Statistics NZ - Water Physical Stock Account 1995-2010,2010,611354
